Invoice/Item Number,Date,Store Number,Store Name,Address,City,County,Category,Category Name,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),year,month
INV-05864400001,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1082000.0,Imported Cordials & Liqueurs,Skyy Spirits Inc,964815,Cynar High Proof 70,6,1000,$17.50,$26.25,1,$157.50,1.0,2017,7
INV-05864400002,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1062100.0,Gold Rum,William Grant & Sons Inc,942646,Flor De Cana Gold,12,750,$10.03,$15.05,3,$180.60,2.25,2017,7
INV-05864400003,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1901200.0,Special Order Items,Laird & Company,903622,Moletto Distillato D'uva Grappa,6,750,$18.00,$27.00,1,$162.00,0.75,2017,7
INV-05864400004,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1901200.0,Special Order Items,Phillips Beverage,903661,Phillips Butterscotch Schnapps,12,750,$4.00,$6.00,1,$72.08,0.75,2017,7
INV-05864400005,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1092000.0,Imported Distilled Spirits Specialty,Paterno Imports LTD,966056,Nonino Quintessentia Amaro,6,750,$26.29,$39.44,1,$236.64,0.75,2017,7
INV-05864400006,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,,,OLE SMOKY DISTILLERY LLC,986771,Ole Smoky White Lightnin' Moonshine,6,750,$11.00,$16.50,2,$99.00,1.5,2017,7
INV-05864400007,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1901200.0,Special Order Items,McCormick Distilling Co.,941940,360 Madagascar Vanilla Vodka,12,750,$7.00,$10.50,1,$126.00,0.75,2017,7
INV-05864400008,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1901200.0,Special Order Items,Mhw LTD,902007,St Elizabeth Allspice Dram,12,750,$16.25,$24.38,1,$292.56,0.75,2017,7
INV-05864500001,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011400.0,Tennessee Whiskies,Brown Forman Corp.,26821,Jack Daniels Old #7 Black Lbl Mini,12,500,$9.06,$13.59,1,$163.08,0.5,2017,7
INV-05864500002,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032100.0,Imported Vodkas,PERNOD RICARD USA,34001,Absolut Swedish Vodka 80 Prf Mini,10,600,$7.92,$11.88,1,$118.80,0.6,2017,7
INV-05864500003,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,FIFTH GENERATION INC,38180,Titos Handmade Mini,5,600,$12.80,$19.20,2,$96.00,1.2,2017,7
INV-05864500004,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1062400.0,Spiced Rum,DIAGEO AMERICAS,43331,Captain Morgan Spiced Rum Mini,12,500,$4.80,$7.20,1,$86.40,0.5,2017,7
INV-05864500005,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1081600.0,Whiskey Liqueur,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,$29.72,$44.58,2,$44.58,6.0,2017,7
INV-05864600001,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1022200.0,100% Agave Tequila,Brown Forman Corp.,3657,Herradura Gold Reposado 6pak,6,750,$24.49,$36.74,1,$220.44,0.75,2017,7
INV-05864600002,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012300.0,Single Malt Scotch,William Grant & Sons Inc,4367,Balvenie Caribbean Cask 14yr,6,750,$39.96,$59.94,1,$59.94,0.75,2017,7
INV-05864600003,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012200.0,Scotch Whiskies,BACARDI USA INC,4867,Dewars White Label Scotch,12,1000,$17.50,$26.25,1,$315.00,1.0,2017,7
INV-05864600004,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012300.0,Single Malt Scotch,PERNOD RICARD USA,5037,Glenlivet 12 Yr Malt Scotch,12,1000,$28.48,$42.72,2,$512.64,2.0,2017,7
INV-05864600005,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012200.0,Scotch Whiskies,William Grant & Sons Inc,5159,Glenfiddich 14YR,6,750,$26.67,$40.01,1,$40.01,0.75,2017,7
INV-05864600006,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012300.0,Single Malt Scotch,Edrington Group USA LLC,5486,Macallan 12 Yr Single Malt Scotch,12,750,$31.49,$47.24,1,$566.88,0.75,2017,7
INV-05864600007,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012300.0,Single Malt Scotch,Edrington Group USA LLC,5492,Macallan Fine Oak 10 Year,12,750,$27.48,$41.22,3,$41.22,2.25,2017,7
INV-05864600008,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012200.0,Scotch Whiskies,William Grant & Sons Inc,5635,Monkey Shoulder,6,750,$17.50,$26.25,1,$157.50,0.75,2017,7
INV-05864600009,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012300.0,Single Malt Scotch,DIAGEO AMERICAS,6206,Talisker 10YR,12,750,$35.50,$53.25,1,$53.25,0.75,2017,7
INV-05864600010,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012300.0,Single Malt Scotch,Phillips Beverage,6316,Tomatin Single Malt,6,750,$17.80,$26.70,3,$26.70,2.25,2017,7
INV-05864600011,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012200.0,Scotch Whiskies,SAZERAC NORTH AMERICA,8827,Lauder's,12,1000,$6.14,$9.21,1,$110.52,1.0,2017,7
INV-05864600012,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012100.0,Canadian Whiskies,Jim Beam Brands,10627,Canadian Club Whisky,12,1000,$9.71,$14.57,1,$174.84,1.0,2017,7
INV-05864600013,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012100.0,Canadian Whiskies,DIAGEO AMERICAS,10826,Crown Royal XO,12,750,$24.99,$37.49,1,$37.49,0.75,2017,7
INV-05864600014,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012100.0,Canadian Whiskies,CONSTELLATION BRANDS INC,11777,Black Velvet,12,1000,$6.63,$9.95,3,$119.40,3.0,2017,7
INV-05864600015,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012100.0,Canadian Whiskies,Brown Forman Corp.,12467,Canadian Mist Whisky,12,1000,$7.22,$10.83,1,$129.96,1.0,2017,7
INV-05864600016,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012100.0,Canadian Whiskies,LUXCO INC,13037,Canadian Reserve Whisky,12,1000,$5.31,$7.97,1,$7.97,1.0,2017,7
INV-05864600017,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012100.0,Canadian Whiskies,Phillips Beverage,14474,Revel Stoke Roasted Pecan,12,750,$7.52,$11.28,1,$135.36,0.75,2017,7
INV-05864600018,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012400.0,Irish Whiskies,Phillips Beverage,15604,Hell Cat Maggie,12,750,$12.49,$18.74,1,$18.74,0.75,2017,7
INV-05864600019,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012400.0,Irish Whiskies,PERNOD RICARD USA,15606,Green Spot,6,750,$34.98,$52.47,1,$52.47,0.75,2017,7
INV-05864600020,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012400.0,Irish Whiskies,PERNOD RICARD USA,15627,Jameson,12,1000,$18.98,$28.47,8,$341.64,8.0,2017,7
INV-05864600021,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012400.0,Irish Whiskies,PERNOD RICARD USA,15856,Redbreast 12YR,6,750,$32.48,$48.72,1,$48.72,0.75,2017,7
INV-05864600022,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1012400.0,Irish Whiskies,William Grant & Sons Inc,15940,Tullamore Dew Irish Whisky,12,750,$15.00,$22.50,1,$270.00,0.75,2017,7
INV-05864600023,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,Jim Beam Brands,16676,Basil Hayden 8YR,6,750,$21.00,$31.50,1,$189.00,0.75,2017,7
INV-05864600024,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,DIAGEO AMERICAS,17087,Bulleit,12,1000,$19.99,$29.99,1,$359.88,1.0,2017,7
INV-05864600025,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,CEDAR RIDGE VINEYARDS LL,17206,Cedar Ridge Bourbon,6,750,$18.10,$27.15,2,$162.90,1.5,2017,7
INV-05864600026,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,Heaven Hill Brands,17956,Evan Williams Str Bourbon,12,750,$7.74,$11.61,1,$139.32,0.75,2017,7
INV-05864600027,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,FOUR ROSES DISTILLERY,18348,Four Roses Small Batch,6,750,$15.17,$22.76,1,$22.76,0.75,2017,7
INV-05864600028,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011700.0,Corn Whiskies,William Grant & Sons Inc,18661,Hudson Baby Bourbon,6,750,$27.50,$41.25,1,$247.50,0.75,2017,7
INV-05864600029,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,Jim Beam Brands,19067,Jim Beam,12,1000,$12.59,$18.89,3,$226.68,3.0,2017,7
INV-05864600030,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,Jim Beam Brands,19112,Jim Beam Devil's Cut,12,750,$15.07,$22.61,1,$22.61,0.75,2017,7
INV-05864600031,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,Jim Beam Brands,19226,Knob Creek,6,750,$19.94,$29.91,2,$179.46,1.5,2017,7
INV-05864600032,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,SAZERAC NORTH AMERICA,21598,Ten High,6,1750,$8.74,$13.36,1,$83.16,1.75,2017,7
INV-05864600033,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,Skyy Spirits Inc,22157,Wild Turkey 101,12,1000,$16.16,$24.24,1,$290.88,1.0,2017,7
INV-05864600034,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011100.0,Blended Whiskies,LUXCO INC,24157,Hawkeye Blend Whiskey,12,1000,$4.39,$6.59,2,$79.08,2.0,2017,7
INV-05864600035,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011100.0,Blended Whiskies,DIAGEO AMERICAS,25607,Seagrams 7 Crown Bl Whiskey,12,1000,$8.00,$12.00,4,$144.00,4.0,2017,7
INV-05864600036,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011600.0,Straight Rye Whiskies,Jim Beam Brands,27048,Knob Creek Rye,6,750,$19.94,$29.91,1,$179.46,0.75,2017,7
INV-05864600037,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011600.0,Straight Rye Whiskies,Jim Beam Brands,27066,Old Overholt Rye,12,750,$11.54,$17.31,1,$207.72,0.75,2017,7
INV-05864600038,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011600.0,Straight Rye Whiskies,Infinium Spirits,27102,Templeton 4YR Rye,6,750,$18.09,$27.14,4,$162.84,3.0,2017,7
INV-05864600039,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,CEDAR RIDGE VINEYARDS LL,27369,Cedar Ridge Port Cask Finished Bourbon,6,750,$25.50,$38.25,3,$38.25,2.25,2017,7
INV-05864600040,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1011200.0,Straight Bourbon Whiskies,MISSISSIPPI RIVER DISTIL,27479,Cody Road Bourbon,6,750,$19.17,$28.76,4,$28.76,3.0,2017,7
INV-05864600041,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1042100.0,Imported Dry Gins,PERNOD RICARD USA,28087,Beefeater Gin,12,1000,$14.49,$21.74,1,$260.88,1.0,2017,7
INV-05864600042,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1042100.0,Imported Dry Gins,BACARDI USA INC,28206,Bombay Dry Gin,12,750,$10.50,$15.75,1,$189.00,0.75,2017,7
INV-05864600043,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1042100.0,Imported Dry Gins,BACARDI USA INC,28233,Bombay Sapphire Gin,12,1000,$16.50,$24.75,4,$297.00,4.0,2017,7
INV-05864600044,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1042100.0,Imported Dry Gins,McCormick Distilling Co.,28350,Broker's London Dry Gin,12,750,$11.34,$17.01,1,$17.01,0.75,2017,7
INV-05864600045,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1042100.0,Imported Dry Gins,William Grant & Sons Inc,28627,Hendrick's Gin,6,1000,$21.17,$31.76,2,$190.56,2.0,2017,7
INV-05864600046,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1042100.0,Imported Dry Gins,DIAGEO AMERICAS,28867,Tanqueray Gin,12,1000,$15.50,$23.25,4,$279.00,4.0,2017,7
INV-05864600047,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1041100.0,American Dry Gins,TY KU LLC,29119,Aviation American Gin,6,750,$14.17,$21.26,3,$21.26,2.25,2017,7
INV-05864600048,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1041100.0,American Dry Gins,SAZERAC NORTH AMERICA,29287,Barton Gin,12,1000,$3.92,$5.88,1,$70.56,1.0,2017,7
INV-05864600049,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1041100.0,American Dry Gins,DIAGEO AMERICAS,30317,Gordon's Gin London Dry,12,1000,$7.00,$10.50,1,$126.00,1.0,2017,7
INV-05864600050,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1041100.0,American Dry Gins,McCormick Distilling Co.,31167,McCormick Gin,12,1000,$4.13,$6.20,1,$74.40,1.0,2017,7
INV-05864600051,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1041100.0,American Dry Gins,Phillips Beverage,31719,Phillips Gin,12,1000,$4.38,$6.57,3,$78.84,3.0,2017,7
INV-05864600052,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032200.0,Imported Flavored Vodka,PERNOD RICARD USA,33467,Absolut Lime,12,750,$11.49,$17.24,1,$206.88,0.75,2017,7
INV-05864600053,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032200.0,Imported Flavored Vodka,Jim Beam Brands,33518,Pinnacle Cucumber,12,750,$7.35,$11.03,1,$132.36,0.75,2017,7
INV-05864600054,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032200.0,Imported Flavored Vodka,PERNOD RICARD USA,34029,Absolut Citron (lemon Vodka),12,1000,$14.99,$22.49,3,$269.88,3.0,2017,7
INV-05864600055,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032200.0,Imported Flavored Vodka,PERNOD RICARD USA,34117,Absolut Mandrin,12,1000,$14.99,$22.49,1,$269.88,1.0,2017,7
INV-05864600056,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032100.0,Imported Vodkas,MOET HENNESSY USA,34162,Belvedere Vodka,6,1000,$20.62,$30.93,1,$185.58,1.0,2017,7
INV-05864600057,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032100.0,Imported Vodkas,DIAGEO AMERICAS,34457,Ketel One Imported Vodka,12,1000,$16.50,$24.75,6,$297.00,6.0,2017,7
INV-05864600058,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032100.0,Imported Vodkas,DIAGEO AMERICAS,34458,Ketel One Imported Vodka,6,1750,$22.00,$33.00,5,$33.00,8.75,2017,7
INV-05864600059,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032100.0,Imported Vodkas,STOLI GROUP,34747,Stolichnaya Premium Vodka 80 Proof (lv),12,1000,$15.97,$23.96,1,$287.52,1.0,2017,7
INV-05864600060,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032100.0,Imported Vodkas,William Grant & Sons Inc,34753,Reyka Vodka,6,750,$10.97,$16.46,1,$98.76,0.75,2017,7
INV-05864600061,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032200.0,Imported Flavored Vodka,CONSTELLATION BRANDS INC,34839,Svedka Citron Vodka,12,750,$8.25,$12.38,0,$148.56,0.06,2017,7
INV-05864600062,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032200.0,Imported Flavored Vodka,PROXIMO,34995,Three Olives Grape Vodka,12,750,$9.96,$14.94,3,$179.28,2.25,2017,7
INV-05864600063,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032200.0,Imported Flavored Vodka,PROXIMO,35039,Three Olives Pomegranate Vodka,12,750,$9.96,$14.94,1,$179.28,0.75,2017,7
INV-05864600064,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,LUXCO INC,35699,Pearl Cucumber Vodka,12,750,$7.00,$10.50,2,$126.00,1.5,2017,7
INV-05864600065,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,Mhw LTD,36006,Fuzzy's Ultra Premium Vodka,6,750,$15.17,$22.76,2,$136.56,1.5,2017,7
INV-05864600066,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,LUXCO INC,36307,Hawkeye Vodka,12,1000,$4.05,$6.08,4,$72.96,4.0,2017,7
INV-05864600067,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032200.0,Imported Flavored Vodka,PROXIMO,36498,Three Olives Pink Grapefruit,12,750,$9.95,$14.93,1,$179.16,0.75,2017,7
INV-05864600068,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1032100.0,Imported Vodkas,DIAGEO AMERICAS,36870,Ciroc Luxury Vodka,12,1000,$22.75,$34.13,1,$409.56,1.0,2017,7
INV-05864600069,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,McCormick Distilling Co.,36887,McCormick Vodka,12,1000,$4.13,$6.20,1,$74.40,1.0,2017,7
INV-05864600070,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,SAZERAC NORTH AMERICA,37097,Mr. Boston Riva,12,1000,$3.97,$5.96,1,$71.52,1.0,2017,7
INV-05864600071,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,Phillips Beverage,37348,Phillips Vodka,6,1750,$7.60,$11.40,1,$68.40,1.75,2017,7
INV-05864600072,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,Swell Liquor LLC,38058,Swell Vodka,12,1000,$7.18,$10.77,2,$129.24,2.0,2017,7
INV-05864600073,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,McCormick Distilling Co.,38169,360 Vodka,12,750,$7.00,$10.50,1,$10.50,0.75,2017,7
INV-05864600074,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031100.0,American Vodkas,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,$18.51,$27.77,2,$166.62,3.5,2017,7
INV-05864600075,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Skyy Spirits Inc,39856,Skyy Infusions Bartlett Pear,12,750,$9.01,$13.52,1,$13.52,0.75,2017,7
INV-05864600076,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Phillips Beverage,40244,Prairie Organic Cucumber,6,750,$11.00,$16.50,1,$99.00,0.75,2017,7
INV-05864600077,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,E & J Gallo Winery,40594,New Amsterdam Peach,12,750,$7.50,$11.25,1,$135.00,0.75,2017,7
INV-05864600078,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Skyy Spirits Inc,40804,Skyy Infusions Citrus,12,750,$9.01,$13.52,1,$162.24,0.75,2017,7
INV-05864600079,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Heaven Hill Brands,41316,Burnetts Raspberry Vodka,12,750,$4.48,$6.72,1,$80.64,0.75,2017,7
INV-05864600080,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Phillips Beverage,41604,Uv Grape Vodka,12,750,$6.50,$9.75,4,$117.00,3.0,2017,7
INV-05864600081,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Phillips Beverage,41653,Uv Citruv (citrus) Vodka,12,750,$6.50,$9.75,1,$117.00,0.75,2017,7
INV-05864600082,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Phillips Beverage,41681,Uv Red (cherry) Vodka,6,1750,$10.99,$16.49,1,$98.94,1.75,2017,7
INV-05864600083,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Phillips Beverage,41692,Uv Blue (raspberry) Vodka,6,1750,$10.99,$16.49,1,$98.94,1.75,2017,7
INV-05864600084,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Phillips Beverage,41694,Uv Blue (raspberry) Vodka,12,1000,$7.50,$11.25,3,$135.00,3.0,2017,7
INV-05864600085,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Phillips Beverage,41701,Uv Orange Vodka,12,750,$6.50,$9.75,1,$117.00,0.75,2017,7
INV-05864600086,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1031200.0,American Flavored Vodka,Phillips Beverage,41705,Uv Red (cherry) Vodka,12,1000,$7.50,$11.25,1,$135.00,1.0,2017,7
INV-05864600087,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1062300.0,Aged Dark Rum,DIAGEO AMERICAS,42167,Myers's Rum Original Dark,12,1000,$12.50,$18.75,1,$225.00,1.0,2017,7
INV-05864600088,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1062500.0,Flavored Rum,PERNOD RICARD USA,42717,Malibu Coconut Rum,12,1000,$10.49,$15.74,3,$188.88,3.0,2017,7
INV-05864600089,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1062300.0,Aged Dark Rum,DIAGEO AMERICAS,42777,Ron Zacapa 23 Year,6,750,$22.00,$33.00,1,$33.00,0.75,2017,7
INV-05864600090,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1062500.0,Flavored Rum,BACARDI USA INC,43050,Bacardi Dragon Berry,12,1000,$9.50,$14.25,2,$171.00,2.0,2017,7
INV-05864600091,07/03/2017,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,POLK,1062500.0,Flavored Rum,BACARDI USA INC,43137,Bacardi Limon,12,1000,$9.50,$14.25,5,$171.00,5.0,2017,7
